ID,NombreProducto,Precio,Stock,GeneradorPID,Timestamp
1,Producto1,199.89,74,538,2025-09-11 02:48:29.529
11,Producto11,60.44,0,539,2025-09-11 02:48:29.529
21,Producto21,49.33,182,540,2025-09-11 02:48:29.529
22,Producto22,87.41,146,540,2025-09-11 02:48:29.530
12,Producto12,70.21,136,539,2025-09-11 02:48:29.541
23,Producto23,39.15,71,540,2025-09-11 02:48:29.543
24,Producto24,4.88,27,540,2025-09-11 02:48:29.546
51,Producto78,120.50,30,0,
3,Producto3,93.21,95,538,2025-09-11 02:48:29.562
13,Producto13,25.03,145,539,2025-09-11 02:48:29.564
4,Producto4,69.37,105,538,2025-09-11 02:48:29.580
14,Producto14,51.66,55,539,2025-09-11 02:48:29.587
15,Producto15,72.64,168,539,2025-09-11 02:48:29.592
25,Producto25,86.42,183,540,2025-09-11 02:48:29.596
5,Producto5,91.40,75,538,2025-09-11 02:48:29.596
16,Producto16,16.98,189,539,2025-09-11 02:48:29.609
6,Producto6,91.99,15,538,2025-09-11 02:48:29.616
17,Producto17,6.93,136,539,2025-09-11 02:48:29.619
7,Producto7,84.56,150,538,2025-09-11 02:48:29.625
26,Producto26,60.33,19,540,2025-09-11 02:48:29.641
8,Producto8,99.01,49,538,2025-09-11 02:48:29.652
18,Producto18,2.30,51,539,2025-09-11 02:48:29.652
27,Producto27,16.37,127,540,2025-09-11 02:48:29.664
19,Producto19,43.67,88,539,2025-09-11 02:48:29.674
9,Producto9,77.39,13,538,2025-09-11 02:48:29.688
10,Producto10,99.82,53,538,2025-09-11 02:48:29.693
28,Producto28,91.60,77,540,2025-09-11 02:48:29.701
20,Producto20,62.85,144,539,2025-09-11 02:48:29.717
31,Producto31,59.10,140,539,2025-09-11 02:48:29.721
41,Producto41,66.10,89,538,2025-09-11 02:48:29.722
29,Producto29,62.87,64,540,2025-09-11 02:48:29.745
32,Producto32,36.70,114,539,2025-09-11 02:48:29.766
42,Producto42,56.21,26,538,2025-09-11 02:48:29.770
30,Producto30,37.14,15,540,2025-09-11 02:48:29.792
43,Producto43,55.25,147,538,2025-09-11 02:48:29.795
33,Producto33,65.80,17,539,2025-09-11 02:48:29.803
44,Producto44,92.02,37,538,2025-09-11 02:48:29.815
45,Producto45,48.95,129,538,2025-09-11 02:48:29.839
46,Producto46,49.89,129,538,2025-09-11 02:48:29.846
34,Producto34,58.20,183,539,2025-09-11 02:48:29.849
35,Producto35,0.54,48,539,2025-09-11 02:48:29.850
47,Producto47,33.43,185,538,2025-09-11 02:48:29.879
36,Producto36,69.01,98,539,2025-09-11 02:48:29.880
48,Producto48,62.04,38,538,2025-09-11 02:48:29.888
49,Producto49,18.67,129,538,2025-09-11 02:48:29.896
37,Producto37,30.52,144,539,2025-09-11 02:48:29.907
50,Producto50,67.26,111,538,2025-09-11 02:48:29.927
38,Producto38,61.42,126,539,2025-09-11 02:48:29.937
39,Producto39,76.51,93,539,2025-09-11 02:48:29.965
40,Producto40,68.04,178,539,2025-09-11 02:48:29.977
