id,generador,pid,nombreProducto,precio,stock
1,0,7139,Silla Gamer,3431.92,429
11,1,7140,Memoria 16GB,6955.42,247
12,1,7140,Microfono USB,13006.05,198
13,1,7140,Microfono USB,9032.25,51
2,0,7139,Pad Mouse XL,2299.57,409
3,0,7139,Pad Mouse XL,8789.61,274
4,0,7139,Silla Gamer,16427.72,175
14,1,7140,SSD NVMe 1TB,6155.73,45
5,0,7139,GPU RTX 4060,29355.07,323
15,1,7140,Pad Mouse XL,30594.66,324
6,0,7139,Webcam 1080p,10275.24,54
16,1,7140,Fuente 650W 80+,19648.86,496
7,0,7139,Auriculares BT,28018.51,272
8,0,7139,Webcam 1080p,11032.89,421
17,1,7140,Mouse Gamer,8514.28,133
9,0,7139,Silla Gamer,26612.29,215
18,1,7140,Monitor 24",30740.25,239
10,0,7139,Monitor 24",17595.24,398
19,1,7140,Teclado Mecanico,8897.47,378
21,0,7139,Teclado Mecanico,8556.46,470
20,1,7140,Microfono USB,5625.21,34
22,0,7139,Monitor 24",19491.04,256
31,1,7140,Memoria 16GB,5123.71,162
23,0,7139,Motherboard AM5,3628.06,468
32,1,7140,Webcam 1080p,7853.82,214
24,0,7139,Webcam 1080p,27640.92,454
33,1,7140,Router WiFi 6,15524.29,24
25,0,7139,Memoria 16GB,6493.24,452
34,1,7140,Webcam 1080p,28489.69,302
26,0,7139,Fuente 650W 80+,29774.49,242
35,1,7140,Auriculares BT,30861.66,321
27,0,7139,Notebook 15",27630.89,32
36,1,7140,Fuente 650W 80+,13273.68,500
28,0,7139,Silla Gamer,6135.08,80
37,1,7140,Router WiFi 6,15616.55,220
29,0,7139,Pad Mouse XL,10752.11,106
38,1,7140,Monitor 24",25937.18,126
30,0,7139,Microfono USB,25051.98,150
39,1,7140,Mouse Gamer,18490.50,23
41,0,7139,SSD NVMe 1TB,26296.29,83
40,1,7140,SSD NVMe 1TB,1105.08,136
42,0,7139,Notebook 15",15815.76,149
43,0,7139,Router WiFi 6,27169.01,454
44,0,7139,Notebook 15",17945.14,178
45,0,7139,Monitor 24",4151.95,133
46,0,7139,SSD NVMe 1TB,28376.83,464
47,0,7139,Mouse Gamer,15495.27,220
48,0,7139,Microfono USB,27028.96,485
49,0,7139,Router WiFi 6,17634.10,460
50,0,7139,Silla Gamer,30318.46,313
