id,generador,pid,nombreProducto,precio,stock
1,0,7266,Notebook 15",5929.45,397
11,1,7267,Webcam 1080p,16928.15,438
21,2,7268,Memoria 16GB,1646.45,350
31,3,7269,Motherboard AM5,3679.14,198
41,4,7270,GPU RTX 4060,11686.68,477
51,5,7271,Mouse Gamer,11929.14,417
61,6,7272,Fuente 650W 80+,25587.57,334
71,7,7273,Webcam 1080p,21789.38,121
32,3,7269,Microfono USB,21328.25,130
12,1,7267,Notebook 15",12153.84,126
72,7,7273,Fuente 650W 80+,30249.82,389
2,0,7266,Fuente 650W 80+,2831.38,249
52,5,7271,Router WiFi 6,25677.42,420
42,4,7270,GPU RTX 4060,10686.65,308
73,7,7273,Monitor 24",5305.75,247
22,2,7268,Mouse Gamer,20901.52,134
13,1,7267,Webcam 1080p,2519.65,21
3,0,7266,Pad Mouse XL,28485.32,2
62,6,7272,Monitor 24",14836.96,6
33,3,7269,Microfono USB,11389.27,102
43,4,7270,Memoria 16GB,28491.00,167
53,5,7271,Pad Mouse XL,20949.96,106
63,6,7272,Teclado Mecanico,18846.90,203
34,3,7269,Fuente 650W 80+,12503.57,388
4,0,7266,Fuente 650W 80+,5511.73,358
14,1,7267,SSD NVMe 1TB,10068.38,155
54,5,7271,Fuente 650W 80+,19466.91,364
74,7,7273,Monitor 24",7746.49,236
23,2,7268,Mouse Gamer,5326.96,311
44,4,7270,GPU RTX 4060,18385.22,53
64,6,7272,Silla Gamer,9553.01,362
35,3,7269,Monitor 24",18369.24,301
55,5,7271,SSD NVMe 1TB,14971.35,131
15,1,7267,Mouse Gamer,19603.38,474
75,7,7273,Memoria 16GB,13748.05,278
36,3,7269,Router WiFi 6,7061.08,352
5,0,7266,Monitor 24",26311.36,363
65,6,7272,Teclado Mecanico,10768.89,12
76,7,7273,Monitor 24",7556.39,386
45,4,7270,SSD NVMe 1TB,12106.17,184
24,2,7268,Router WiFi 6,13139.75,263
56,5,7271,Notebook 15",9784.48,359
57,5,7271,Mouse Gamer,21603.01,38
37,3,7269,GPU RTX 4060,29010.00,439
46,4,7270,Memoria 16GB,5706.85,89
16,1,7267,SSD NVMe 1TB,11691.76,174
