id,generador,pid,nombreProducto,precio,stock
1,0,5847,Webcam 1080p,19264.95,432
2,0,5847,Memoria 16GB,9386.22,464
3,0,5847,Pad Mouse XL,8351.83,158
4,0,5847,Microfono USB,12179.20,256
5,0,5847,Monitor 24",29107.23,422
6,0,5847,SSD NVMe 1TB,20819.26,114
7,0,5847,Silla Gamer,23965.89,442
8,0,5847,Teclado Mecanico,24422.68,391
9,0,5847,Auriculares BT,26332.07,447
10,0,5847,Auriculares BT,11490.57,190
11,1,5848,Motherboard AM5,21258.24,232
12,1,5848,SSD NVMe 1TB,2150.21,482
31,3,5850,Webcam 1080p,28113.83,431
32,3,5850,SSD NVMe 1TB,19354.30,240
41,0,5847,Pad Mouse XL,21073.50,374
21,2,5849,Teclado Mecanico,6175.77,341
33,3,5850,Notebook 15",2139.35,428
34,3,5850,Fuente 650W 80+,2360.76,37
13,1,5848,Memoria 16GB,7914.83,465
22,2,5849,GPU RTX 4060,20684.89,395
23,2,5849,Mouse Gamer,12336.51,225
42,0,5847,Microfono USB,25985.23,297
14,1,5848,Motherboard AM5,26833.94,324
24,2,5849,Pad Mouse XL,19086.66,367
25,2,5849,Router WiFi 6,17221.88,203
43,0,5847,Microfono USB,20158.04,47
15,1,5848,Notebook 15",3726.84,141
26,2,5849,Notebook 15",21296.15,147
35,3,5850,Memoria 16GB,6551.54,424
36,3,5850,Monitor 24",26259.44,276
44,0,5847,GPU RTX 4060,9946.71,171
27,2,5849,Monitor 24",13470.40,323
37,3,5850,Notebook 15",17520.83,265
45,0,5847,Notebook 15",27406.21,244
16,1,5848,Auriculares BT,4493.34,468
28,2,5849,Memoria 16GB,6099.44,227
29,2,5849,Monitor 24",9074.89,196
38,3,5850,Motherboard AM5,26973.47,81
17,1,5848,Monitor 24",24395.80,178
30,2,5849,Pad Mouse XL,11929.10,241
39,3,5850,Mouse Gamer,10877.20,330
46,0,5847,Pad Mouse XL,23730.36,177
18,1,5848,Notebook 15",20016.47,96
19,1,5848,Memoria 16GB,25303.71,377
47,0,5847,Mouse Gamer,7476.06,306
20,1,5848,Auriculares BT,10741.30,136
40,3,5850,Monitor 24",2387.68,303
48,0,5847,Teclado Mecanico,5682.81,167
49,0,5847,Webcam 1080p,1981.51,496
50,0,5847,Webcam 1080p,16039.38,317
